"Amazon_Product","Google_Product","Confidence","Reason"
"clickart 950 000 - premier image pack (dvd-rom)","clickart 950000 - premier image pack (dvd-rom)",0.753,"Fuzzy = 0.89 | TF-IDF = 0.61"
"ca international - arcserve lap/desktop oem 30pk","emc insignia retrospect desktop 6.x",0.426,"Fuzzy = 0.71 | TF-IDF = 0.14"
"noah's ark activity center (jewel case ages 3-8)","the beginners bible: noah's ark activity center: activity center",0.702,"Fuzzy = 0.67 | TF-IDF = 0.73"
"peachtree by sage premium accounting for nonprofits 2007","peachtree(r) premium accounting 2007",0.723,"Fuzzy = 0.78 | TF-IDF = 0.67"
"singing coach unlimited","singing coach unlimited - electronic learning products",0.773,"Fuzzy = 0.81 | TF-IDF = 0.73"
"emc retrospect 7.5 disk to disk windows","emc ju10a0075 emc retrospect 7.5 disk to disk windows emc insignia retrospect disk-to-disk - ( v. 7.5 ) - complete package - 1 server - cd - win 0093156011006",0.768,"Fuzzy = 0.65 | TF-IDF = 0.89"
"adobe after effects professional 6.5 upgrade from standard to professional","adobe after effects professional 7.0 software effects software",0.761,"Fuzzy = 0.8 | TF-IDF = 0.72"
"acad upgrade dragon naturallyspeaking pro solution 9.0 (a289a-fd7-9.0)","nuance dragon naturallyspeaking v.9.0 professional - upgrade",0.591,"Fuzzy = 0.75 | TF-IDF = 0.43"
"mia's math adventure: just in time","kutoka interactive 61208 mia's math adventure: just in time!",0.726,"Fuzzy = 0.7 | TF-IDF = 0.75"
"disney's 1st & 2nd grade bundle (pixar 1st grade secret keys and aladdin reading quest)","disney learning 1st-2nd grade win",0.605,"Fuzzy = 0.68 | TF-IDF = 0.53"
"paper art: gift wrapping","paper art volume 2: gift wrapping",0.901,"Fuzzy = 0.87 | TF-IDF = 0.93"
"nfs maestro solo 2006 1u","world book 2006",0.402,"Fuzzy = 0.67 | TF-IDF = 0.13"
"microsoft sql server standard edition 2005 64 bit cd/dvd 5 client","microsoft windows vista business - 32-bit oem",0.504,"Fuzzy = 0.65 | TF-IDF = 0.35"
"spy sweeper spanish","webroot spy sweeper spanish edition (pc)",0.796,"Fuzzy = 0.75 | TF-IDF = 0.84"
"domino designer/developer v5.0","web page designer gold",0.461,"Fuzzy = 0.64 | TF-IDF = 0.28"
"omnioutliner professional 3.0","omnioutliner professional 3.0 for mac",0.933,"Fuzzy = 0.93 | TF-IDF = 0.94"
"compaq comp. secure path v3.0c-netware wrkgrp 50 lic ( 231327-b22 )","231327-b22 hp storageworks secure path for netware workgroup edition - ( v. 3.0c ) - licens",0.575,"Fuzzy = 0.59 | TF-IDF = 0.56"
